document,ent1,ent1_start,ent1_end,ent2,ent2_start,ent2_end,relation
"Although both FFPR and MMPR group experienced synchronous modes for their peer review , the effectiveness of commenting varied between the two groups . Telegram provided a less-threatening synchronous environment ; however , it created some challenges in the form of interruptions , distractions , maintenance , and timing throughout peer review sessions . The challenges are divided as follows : ( 1 ) Some students interrupted the lessons by asking sudden questions or taking part in mobile discussions with delay . ( 2 ) During the peer review session , some discussions went off the topic when students used stickers to show surprise or happiness , and all these things made it hard to get the attention of everyone back to the discussion of problematic sentences . ( 3 ) When the discussion of an issue continued , the students could not see the entire chat on their screens ; they thus found it hard to trace the main discussion . ( 4 ) Although , the researcher discussed the mobile review sessions policy and procedures at the beginning of the course and used some signs to manage the time and turn - taking , the difficulty of determining the turn - taking among the students , a feeling of rush to type their comments , followed by losing the interest after several comments on a specific paragraph decreased the effectiveness of peer review in Telegram . In addition , students who did not have high typing speed fell behind the concurrency of mobile interaction . ( 5 ) The duration of peer review conversations was time - consuming . One possible reason might be the lack of non-verbal communication in Telegram .",students,65,66,maintenance,45,46,students faced interruptions for maintenance.
"The measurement model was used to test the validity and reliability via different techniques such as confirmatory factor analysis . All the results with respect to the fitness of measurement model were obtained as follows : CMIN / df = 1.513 , CFI = .967 , GFI = .952 , AGFI = .919 , TLI = .948 , NFI = .912 , IFI = .907 , and RMSEA = .04 . As all the values are under acceptable range , it is a well - fit model .",all the values,72,75,reliability,10,11,All the values have acceptable reliability.
"Predictive regression analysis was performed for both MC and OE to answer the second research question - the componential analyses : do the predictors of test scores differ systematically depending on the test format ? Suppose that both MC and OE involve identical sub-reading skills such that no test format exists . In such a case , one of the immediate implications is that MC and OE test scores should have an identical set of component skills as predictors . Conversely , finding different predictors for MC and OE test scores can constitute empirical evidence against the null hypothesis of no test format effect . The predictive regression model included test scores as a dependent variable and a variety of sub-reading skill indices as candidate predictors , such as vocabulary , grammar knowledge , lexical and sentential processing skills , WM , and aggregate strategy scores . Among a number of alternative data-driven model selection methods , stepwise forward regression was adopted because of its balanced properties . The resulting predictor sets for MC and OE were compared to investigate the existence of a test format effect .",The resulting predictor sets,168,172,a test format effect,183,187,The resulting predictor sets for MC and OE were compared to investigate the existence of a test format effect.
"Eva 's story highlights the fear and the pressure on young students caused by the national examination . It also illustrates the reliance students and parents place on private tuition and coaching centres , rather than government provided free classes . There is suggestion perhaps that some teachers do not teach effectively in class , and even suggestion that some may deliberately reserve their best efforts for private after-school classes .",Eva 's story,0,3,parents,25,26,Eva 's story highlights the reliance on parents for help.
The supplementary control terminal at the input of the HVDC system serves as another possible input point location for wide area control signal . HVDC system is based on line commutated converter . Damping can be increased in power system by modulating the reference current at the input of the rectifier .,the HVDC system,8,11,the input,5,7,The HVDC system has a supplementary control terminal at the input.
"With considering Indian homologation standards and without affecting the structural integrity , changes has been done on bus body . Drag is the force acting opposite to the relative motion of the bus with respect to surrounding air . Aerodynamic drag is due to force developed against flow of fluid over vehicle body . This drag varies with respect to speed . High speed finds more drag . so the analysis done on high speed range of bus i.e. from 80 to 120 kmph at interval of 10 kmph . Rolling resistance also increases with increase in the speed .",Indian homologation standards,2,5,the speed,97,99,no relation found
"The success of academic literacy depends on multiple factors of genre , style , disciplinary knowledge , writing experience and language , and language is only one of the factors . To enter the Native vs . Non-native dichotomy discussion , this study takes the linguistic approach and compares the academic language features of meaning connections by four groups of writers to investigate the extent to which native vs. non- native status benefits or disadvantages L1 and L2 writers with different academic writing experiences . Next the literature review moves on to meaning connections in academia .",The success,0,2,the extent,63,65,no relation found
"The brake disc has the inner diameter of 2200 mm , outer diameter of 2800 mm , thickness of 70 mm , and average friction radius of 2500 mm . The brake shoe has the length of 290 mm , width of 172 mm , and thickness of 25 mm . The three - dimensional contact structure of brake brake shoe was established employing SolidWorks software . Afterward , the brake disc and brake shoe were imported into ABAQUS 6.10 / CAE and assembled together . Therefore , the three - dimensional finite element model of brake brake shoe was established .",the brake disc,69,72,width,40,41,no relation found
"In the following sections , this article examines historical trends that may reveal similarities and differences consistent with the three heuristic hegemonic trajectories expounded above . This analytical exercise may help us expose and explain the present and future trends and paths of a possible Chinese global hegemony in the 21st century . From this perspective , we will examine , first , signs of China 's peaceful rise by focusing on its participation in the global environmental dialogue , as well as in some United Nations ( UN ) peacekeeping missions ( PKMs ) , and systemic financial and investment efforts . Second , we will look for clues in China 's foreign policies and behaviour that may raise concerns about its possible violent and forceful rise . From this vantage point , we will concentrate on China 's island - building efforts and its absolute disregard for other nations ' claims in the South China Sea and the emerging Entente . A third historical trend of interest to the argument and analysis of this study is China 's effort to establish institutions such the AIIB that provides a vital forum for economic and financial Chinese influence throughout the region and beyond and its increasing interest in the exploitation of the Arctic .",the following sections,1,4,some United Nations,84,87,no relation found
"The massive majority of cattle are killed and culled for the meat production and also bred for an extensive range of food stuffs and the functions they deliver . As a result , the production of beef involves several varieties of supply chain and receipts the numerous procedures . Beef production discussion and livestock are often due to the deficiency of awareness of this enormous diversity in the production , services , goods , and especially in the context of interaction of environment and also for its improvement .",Beef production discussion,49,52,services,70,71,Beef production discussion includes services.
"In the literature on QFD , a whole range of more sophisticated approaches has been proposed . Some of these are intended to deal with the methodological problems I have sketched ; others mainly aim at a more precise and mathematically sophisticated formulation of QFD . My aim is not to give a complete overview , but only to sketch some current developments and to indicate whether these are promising for eventually overcoming the earlier sketched methodological problems or not .",My aim,46,48,more sophisticated approaches,10,13,My aim is to review and propose more sophisticated approaches.
"Therefore , the combination of sparsity empirical wavelet transform and adaptive dynamic least squares support vector machine ( EWT - ADLSSVM ) is proposed for fault diagnosis of gear pump in this article . Sparsity EWT is used to obtain the features of the vibrational signal of gear pump , and ADLSSVM is used to recognize the state of gear pump . The four states of gear pump including normal state , wear and tear , pitting fault , and snaggletooth fault are employed in this experiment , among which normal state is denoted as '' Class 1 , '' wear and tear is denoted as '' Class 2 , '' pitting fault is denoted as '' Class 3 , '' and snaggletooth fault is denoted as '' Class 4 . '' The experimental results show that only one case is incorrectly classified using the proposed sparsity empirical wavelet transform and adaptive dynamic least squares support vector machine ( SEWT - ADLSSVM ) method , five cases are incorrectly classified using the ADLSSVM method , and eight cases are incorrectly classified using the empirical wavelet transform and least squares support vector machine ( EWT - LSSVM ) method .",Sparsity EWT,34,36,gear pump,28,30,Sparsity EWT obtains vibrational features from the gear pump.
"In conclusions , we have demonstrated the fabrication of highly NIR luminescent CsPbCl 3 perovskite films doped with Yb 3 + and the bright NIR LEDs based on it . Yb 3 + 3 film shows a strong NIR luminescence through the efficient energy transfer from perovskite to Yb 3 + , leading to accomplishment of the highest NIR PLQY , over 60 , in thin - film structures . The Yb 3 + 3 based LEDs also exhibit a bright electroluminescence around 1000 nm with EQEs up to 5.9 , which was achieved by high carrier transporting ability and effective sensitized emission property in the solid-film structure . The material and method of the Yb 3 + : perovskite - based NIR LEDs reported here open up its applications to night - vision devices , optical communication , biomedical imaging , and medical treatments .",method,112,113,EQEs,86,87,no relation found
"Process models , as well as information about the constraints on the process and the implications the process models have , are frequently referred to in communication acts . These communication acts convey attitudes to the models as well as explicitly including them or dismissing them as relevant to the current activity and highlighting particular features . And we can also think of individuals ' private interactions with models as communication acts with themselves that include their attitudes to the models . Our argument here is that these attitudes help determine the principles people apply - or should apply - to draw the appropriate inferences from models .",we,58,59,these attitudes help,87,90,no relation found
"The IELTS training courses English language instructors have previously taught may to some degree have demanded teaching to the test , in preference to seeking an overall improvement in students ' language proficiency . This tension between pedagogical and ethical practice is realised through teachers narrowing their instruction to meet what they perceive are the demands of the test construct .",The IELTS,0,2,preference,22,23,no relation found
"Device Fabrication : The fabrication of the 2 / SnSe 2 devices consists of three steps : ( i ) pristine WSe 2 or 2 flakes transfer , ( ii ) exfoliation of SnSe 2 flakes and dry transfer in the glovebox , and ( iii ) electrode metallization . First , the CVD grown WSe 2 flakes were transferred onto a 300 nm SiO 2 / Si substrate by using hydrofluoric acid . Second , the SnSe 2 flakes were exfoliated using a Scotch tape onto a poly propylene carbonate ( PPC ) / 300 nm SiO 2 / Si substrate , visualizing the thin and large - size flakes . The desired SnSe 2 flake along with the PPC film was then mechanically peeled off from the silicon substrate and attached onto a polydimethylsiloxane stamp . Next , SnSe 2 and WSe 2 were brought together , followed by poly methyl methacrylate prior to performing electrode metallization for protection . All the manipulations of SnSe 2 flakes were performed in the glovebox . Finally , the source ( ) and drain ( ) contacts ( Pd / Au of 5/50 nm ) for both WSe 2 and SnSe 2 were patterned by e-beam lithography prior to metal deposition .",All the manipulations,162,165,the glovebox,40,42,no relation found
At low speed the drag is not much considered . As there is not impact on fuel consumption but at high speed the atmospheric air creates pressure on bus body while bus tries to shear the air over body . So rolling resistance automatically increased and to avoid resistance the more power need to engine . Automatically fuel consumption goes high . Front face area is most focused area and streamed Line flow helps to reduce the drag . Last few decades there is not much change in the bus body in area of reduction in the drag .,high speed,20,22,the drag,3,5,high speed increases the drag.
"I actually control the diabetes , it 's not gonna control me so it 's not gonna stop me going out or doing anything . But I have to deal with it when I am out you know , like that . If I have a taste of the dessert or I have a bigger breakfast or you know - I have to deal with it because I wo n't let it control me , I wo n't not go out , not do anything because of the diabetes .",I,0,1,you,36,37,no relation found
"However , we also realized that the main effect of visual direction was shown only in one channel , and the post hoc analysis did not pass the Bonferroni correction .",the post hoc analysis,20,24,one channel,16,18,no relation found
"Second , the location of the study in Colorado - a state that has legalized the medical and recreational use of cannabis - and the use of a convenience sample of college students are also limitations that may have also influenced results . For example , while we demonstrated preliminary reliability for the reporting of both quantity and frequency across multiple forms of substances , the differences between the online and in - person measures for nicotine / tobacco total days and alcohol total drinks were significantly different . This could be due to the fact that use in our sample was notably limited , though it should be noted that the actual differences were small and do not appear to be clinically meaningful and could benefit from further validation among community or clinical samples . Also , while our measure demonstrated reliable reporting of days and amounts used for different modes of cannabis administration , such as flower , edibles , and concentrates , the majority of participants interestingly did not report on the specific THC or CBD contents of their cannabis as demonstrated by our ancillary findings . This limitation could be due to our reliance on a sample that was on average below the legal age for purchasing and using cannabis ( 21 ) , and thus more likely to use cannabis in groups socially where potency is not known by users . Therefore , these potency measures could be more powerful in studies of older or medical cannabis users or heavier substance users . Again , this validation study using a convenience sample is a first step toward demonstrating the validity of these novel potency and administration measures among diverse samples .",the medical and recreational use,15,20,the specific THC or CBD contents,174,180,no relation found
"Designers were questioned on their design process itself , activities undertaken and user involvement within the process and were asked to produce a visual representation of their design process during the interview . Further information was added to those process diagrams by the researcher after analysis of interview transcripts . This ensured that key attributes of the process discussed by the designers were captured within the graphical representation of the process . Those final design processes were then returned to the designers for validation .",Those final design processes,72,76,the process,15,17,no relation found
"Considering the limitations of this study , further studies need to be conducted with more item formats , more participants so as to be able to recommend more generalizable findings and better alternatives for vocabulary test / formats . Furthermore , more research is needed to investigate whether male and female students differ in their answering strategy for MC and CR questions . The results of the current study were mainly based on the adapted MC ( and CR ) vocabulary questions used in a state wide entrance examination in Iran , and the findings may only be context specific . However , we believe that teachers and policy makers should consider the related format and gender- related differences in constructing MC and CR formats and develop test formats that are less biased toward a specific gender or use a wide range of formats to compensate for gender related differences .",further studies,7,9,MC and CR questions,58,62,further studies should investigate male and female strategies for MC and CR questions.
"For Indonesia , the crisis was triggered by sudden capital flight soon after the collapse of the Thai baht , and the Indonesian rupiah depreciated more than 200 against the dollar . The depreciation was followed by a national banking crisis and ended as a national economic crisis . With the depreciation of the rupiah and higher interest rate , the crisis hit high and middle income groups ( e.g. , employees in the financial / banking sector ) and big companies that relied heavily on credit from banks and imports . After several months , domestic prices began to increase along with the increase in unemployment as many employees were laid off in many affected companies .",The depreciation,32,34,sudden capital flight,8,11,The depreciation was triggered by sudden capital flight.
"In this initial investigation of data from our overall survey , we have chosen to examine only the lexical pair shit - paska in order to allow us to optimally handle just one portion of our robust data in a systematic fashion . This approach seems warranted . Our work so far on the overall data set indicates that each lexical borrowing carries its own social meanings and connotations : each swearword borrowing is on a distinct path . As we continue to work with the data gained from this experiment , we will no doubt be able to draw further higher - level connections about the interplay of these resources .",Our work,48,50,order,24,25,no relation found
"The paper is organized as follows . In Section 1 a brief overview of the basic equations of elastostatics in the framework of the linear Gurtin model . In Section 2 the problem of anti-plane deformations of an elastic half - space with a crack is formulated ; this problem is split into symmetric and asymmetric ( with respect to crack line ) problems . The formulation of the symmetric problem in terms of the Mellin is reformulated in terms of the Wiener - Hopf problem in Section 3 . The analysis of obtained solution is given in Section 4 . We discuss the case when stresses have the logarithmic singularity near the crack tip and when they are bounded . We also discuss two limiting cases , of zero surface stresses and of a rigid inclusion ( "" anticrack "" ) . Numerical example of stress and displacement distributions is presented in Section 5 . The solution of the asymmetric problem is analyzed in Section 6 , where we identify the square root stress singularity and calculate the stress intensity factor . We believe that this analysis effectively closes discussions on disparity of results in various papers concerning singularity at the crack tip with surface stress on its surfaces .",The solution,156,158,its surfaces,208,210,The solution of the asymmetric problem closes discussions on disparity of results concerning singularity at the crack tip with surface stress on its surfaces.
"Brand names used in Sweden are quite often English words or inspired by English brand names . In general it should not be problematic to introduce products with English names on the Swedish market . The question is whether they are always as effective as they could be , if they do not contain the right phonaesthemes .",Sweden,4,5,brand names,14,16,Sweden uses English inspired brand names.
"common substrates across four subtypes of AVs - NSNMCS individuals were increased FCD in the bilateral superior temporal gyrus and mesial frontal lobe , and decreased FCD in the bilateral medial prefrontal cortex . Distinct functional brain patterns were increased FCD in the bilateral insula in CCCAVH individuals , increased FCD located in the bilateral thalamus in OTAVH individuals , increased gFCD in the bilateral precuneus in NVAH individuals , and increased FCD in the bilateral hippocampus in RAVHS individuals . Commonalities in brain alterations across AVs individuals indicated that dysfunction of the bilateral superior temporal gyrus and bilateral medial prefrontal cortex may be common pathological features of AHs . Hyperactivity in the bilateral superior temporal gyrus and hypoactivity in the bilateral medial prefrontal cortex may form the neural basis of AHs . Many hypotheses regarding AHs propose that hyperactivity of the superior temporal gyrus and mesial frontal lobe may underlie the generation of AHs , and hypoactivity of the prefrontal lobe attenuates inhibition of abnormal hyperactivity in the superior temporal gyrus . This phenomenon may cause "" false voice "" - related neural activity to become the "" reality experience "" of individuals with AHs and thereby cause AHs . Our findings support abnormal reciprocal actions between the superior temporal gyrus , mesial frontal lobe , and prefrontal lobe in AH generations , consistent with many hypotheses on AHs . The abnormal reciprocal action between the superior temporal gyrus and prefrontal lobe may be a common circuit in different subtypes of AHs . Our findings also indicated that this common pathway may be a treatment target for AH intervention . Compared to individuals with CCCAVHs individuals , those with OTAVHs , NVAHs , or RAVHs exhibited different brain activity patterns . Individuals with OTAVH demonstrated dysfunction in the bilateral thalamus , bilateral hippocampus , bilateral precentral gyrus , left inferior frontal gyrus , sensorimotor cortex , bilateral posterior cingulate cortex , bilateral middle cingulate cortex , and left cerebellum .",the prefrontal lobe,159,162,the bilateral superior temporal gyrus,14,19,no relation found
"In order to properly manage companies , it is essential to assess the performance and verify the compliance with objectives in order to make appropriate strategic and operational decisions . Manufacturing is a mature business function , so companies measure economic performance systematically by accounting the costs of the resources consumed and the value added along the manufacturing process . In addition , this accounting can be extended to the entire supply chain . However , the measure of environmental and social performance is a complex task that involves assessing the impact of productive activity on sustainability , taking into account the materials , components , energy and other supplies consumed in the manufacturing processes . Furthermore , waste and emissions can also be inputs for other industrial or natural recycling systems that involve environmental , social and economic impact that must be evaluated .",environmental and social performance,79,83,appropriate strategic and operational decisions,24,29,Environmental and social performance informs appropriate strategic and operational decisions.
"Considering relatively simple example of a microstructured material such as a pantographic bar , we have been illustrated that such general phenomenon as flexoelectricity may result in the appearance of piezoelectric properties at the macroscale for properly chosen microstructure . Here the homogenized 1D continuum possesses piezoelectricity with some effective properties inherited from the geometrical and flexoelectric properties of pivots .",the homogenized 1D,41,44,piezoelectric properties,30,32,The homogenized 1D continuum possesses piezoelectric properties.
"The positive correlation between PRV frequencies and lexical frequency ( I ) can be seen as evidence that PRV names follow the general lexical frequencies for Swedish : that is , consonant clusters that are common in the general Swedish vocabulary are similarly common among PRV names . Moreover , there is a negative correlation with SS ( II ) . The positive correlation between the eight clusters in PRV and in lexical frequency ( I ) is even stronger ( ( 2 = 0.774 , = 0.004 ) , see 4.1.1 ) Taken together , these results indicate that PRV names do not use sound symbolic phonaesthemes to a great extent . Instead , they have the same initial cluster frequencies as Swedish vocabulary in general . It is not surprising to find a positive correlation between PRV frequencies and lexical frequency and a negative correlation between PRV and SS , since the total PRV material contains many semantic classes . In addition , many of the pejorative clusters are virtually absent from the PRV names .",PRV,4,5,these results,96,98,PRV names do not use sound symbolic phonaesthemes in these results.
"The present work shows the inconsistency of the nonlocal strain gradient elasticity theory when applied to bounded solids . The reason lies in the impossibility of fulfilling three types of boundary conditions at once : standard , non-standard , and constitutive . This limitation has been exemplified with the static axial and bending behaviour of Bernoulli-Euler beams . The elastostatic problem has been formulated using the Principle of Minimum Total Potential Energy , which leads to the differential governing equation as well as to the corresponding standard and non-standard boundary conditions that are necessary to fulfil equilibrium . Moreover , two additional constitutive boundary conditions , which are inherent to the formulation of the constitutive equation through convolution integrals , have to be satisfied as other authors have pointed out . The problem is formulated in terms of displacements leading , in the axial case , to a fourth - order ODE with six boundary conditions and , in the bending case , to a sixth-order ODE with eight boundary conditions , all of them being mandatory . Therefore the problem becomes ill- posed and has no solution in general . The inconsistency is evidenced through three examples with different loads and boundary conditions . In all of them , the displacement fields , obtained from the governing equation and fulfilling standard and constitutive boundary conditions , are not compatible with equilibrium since the non-standard boundary conditions are not satisfied by these solutions .",convolution integrals,117,119,Bernoulli-Euler beams,55,57,no relation found
"In this formula , a ij is the correlation between the attainment of the jth engineering characteristic and the attainment of the ith customer demand . QFD presupposes that a ij is always non-negative ( see 2 ) . This assumption can cause problems , as can be illustrated with the following example . One of the customer demands for cars is ' ' fuel consumption '' . This can , for example , be achieved through the engineering characteristic ' ' weight of the car ' ' , i.e. lighter cars have lower fuel consumption ceteris paribus . However , lighter cars get a higher relative acceleration in collisions with heavier cars and , therefore , are more dangerous to the driver and passengers . 12 So , while the engineering characteristic ' ' weight of the car '' correlates positively with the customer demand ' ' safety for the driver and for the passengers '' , it correlated negatively with the customer demand ' ' fuel consumption '' . There are two ways to adapt the original QFD approach to deal with this type of situation .",This assumption,39,41,the driver,121,123,no relation found
"The study shows that composition instructors may differ in their rating behavior and this may cause dissatisfaction , creating a sense of unfairness among the students of severe instructors . The findings of this study are expected to help writing departments to monitor their inter-rater reliability and consistency in their ratings . The most practical way to achieve this is by organizing rater training workshops .",The most practical way,52,56,a sense,19,21,no relation found
"The Asian financial crisis affected a number of countries in Southeast and East Asia . It involved the dramatic decline in exchange rate values , disruption of banking systems , crisis in terms of debt repayment , and a dramatic decline in GDP growth with growth in GDP per capita becoming negative in 1998 and 1999 . However , growth in GDP per capita became positive again in 2000 and by 2008 - 2009 returned to rates of growth of between 4 and 5 . Thus , the disruption was severe , but recovery was fairly rapid .",growth,43,44,exchange rate values,21,24,The decline in both GDP growth and exchange rate values is an effect of the Asian financial crisis.
"To ensure adequate media and academic attention , the international commission must first attract attention as a definitive and compelling diplomatic initiative . It must engage media professionals and academics to secure support . The commission must hold influence with individual commissioners having appropriate levels of seniority and an appropriate level of funding to support a strong public diplomacy campaign .",academic attention,5,7,the international commission,8,11,"To ensure academic attention, the international commission must first attract attention as a definitive and compelling diplomatic initiative."
"The coarse and fine aggregates were made ready under the SSD condition beforehand adding them into the concrete mixture . The alkaline activator was also arranged in the workroom by fraternization sodium hydroxide and sodium silicate solutions at the appropriate proportion approximately half an hour prior to the real mixing of the SFA - based concrete . The SFA and aggregates were initially dried and assorted in a concrete blender . Thereafter , activator solutions were added and continuously mixed for another 5 min to make fresh SFA - based concrete . SP and water were subsequently added during the addition of the last five mixtures ( i.e. , B10 to B50 ) .",The coarse and fine aggregates,0,5,the SFA - based concrete,51,56,no relation found
"Extract 13 B : Yeah , I feel like the exchange of giving and taking not only happen in families , not only the family members share this . Did you hear the news that such a murdering event that happened in Zhaoyuan ? Everyone just stood by and turned a cold eye on it , and did n't offer their hand . And that young lady was killed to death . So if someone lend their hand to her , all of this kind of evil person will be under the control , and the life would n't be gone . And happiness and harmony of the society will be continued .",Everyone,44,45,families,19,20,no relation found
The group of actuators involved in damping of oscillations in wide area control act as a self independent unit for different operating conditions of nominal system as well as for system with actuator faults . The unit is even effective for damping of power oscillations even when one or more actuators goes off and the number of active actuators is reduced . Reconfigurable control is added to the design of WRDC where a reconfiguration component ( RC ) is embedded in the feedback path of the controller . RC is designed along the lines of fault hiding principle and is activated only on occurrence of actuator fault . On activation RC connects to remaining active actuators and together make - up for loss of control action due to actuator faults . RC redistributes control effort among the active actuators to meet system performance objectives . Hence no redundant actuator is required post actuator fault to transfer control to prevent system performance from deteriorating . The multiple actuators involved in WAC of power system under reconfigurable control acts as one self contained unit capable to keep system response unaffected from any actuator faults . With fault hiding principle based reconfigurable control the RC acts as virtual actuator on occurrence of actuator fault . Under the proposed fault tolerant control design nominal wide area damping controller ( WRDC ) can be used without any changes to its parameter . The design of reconfiguration component that leads to self contained actuators unit is discussed below . The schematic diagram illustrating working of reconfigurable control for fault tolerant WAC involving multiple actuators is shown in .,The schematic diagram,253,256,system,25,26,no relation found
"In the late 2000s , both Indonesia and the Philippines began exploring the enactment of FIT schemes to encourage investment in renewable energy sources . For the Philippines , a net importer of coal , increasing self - sufficiency in nonfossil fuel energy was seen as a way to enhance energy security by buffering against shocks to the global supply of commodities . In Indonesia , renewables were seen as a way to boost rural electrification and reduce its carbon footprint , and less as an issue of energy security as Indonesia has access to large domestic coal and gas reserves .",an issue,85,87,FIT schemes,15,17,no relation found
"In the case of non-adaptive group testing , the sampling procedure for all groups is known apriori to the execution of tests . An intuitive way to model and describe the problem of fault isolation in FPGAs using this class of group testing techniques is through matrix algebra .",group testing techniques,41,44,tests,21,22,no relation found
"The incremental conductance algorithm detects the slope of the curve , and the MPP is tracked by searching the peak of the curve . This algorithm uses the instantaneous conductance I / and the incremental conductance dI / dV for MPPT .",the MPP,12,14,the curve,8,10,The MPP is tracked by searching the peak of the curve.
"The power of the institution was felt by Oona , who identified undermining and dismissive treatment over a sustained period , which she attributed to her area of study and her gender . "" I suppose it is incivility in one way but at the same time , I feel over the last few years that I 'm being sidelined constantly . """,I,34,35,the last few years,51,55,"""I feel over the last few years that I 'm being sidelined constantly."""
"In this section , we first discuss the current state and the benefits of employing data access middleware platforms . Then , we elaborate on the typical underlying architecture of these platforms . Finally , we present the list of data access middleware platforms for NoSQL data stores and pick three middleware platforms for the study presented in this paper .",we,4,5,three middleware platforms,50,53,we picked three middleware platforms for the study presented in this paper .
"China 's fortification drive and island - building program in the South China Sea is consistent with revisionist and coercive policies . It deliberately revises borders . This trend is reminiscent of the violent rising by other great powers in history . France , Germany , and Imperial Japan in the 18th and 20th centuries , respectively , pursued such territorial expansion and aggressive practice . This aggressive territorial expansion constitutes the type of evidence that many analysts will cease on to conclude that China is on a collision course with other great powers and neighbours . The policy will lead to diplomatic and possibly military conflict over these territories . In this sense , it will be a harbinger of China 's violent rise .",Imperial Japan,47,49,history,40,41,Imperial Japan pursued aggressive territorial expansion in history.
"This test occurs in the following way : First , we run sunflow or h2 in the target VM while our tool , resides in the same VM , sends requests to boost page exchanges by modifying the key / local / domain / < domid > / memory / in Xenstore . The rates of the requests are 0 MB ( "" off "" case ) , 50 MB , 100 MB , 150 MB , 200 MB , 300 MB , 400 MB , 600 MB , 800 MB , 1 GB and 1.2 GB per second . Then , the server in Domain0 is triggered at the corresponding rate to reclaim pages from the other nine VMs . Finally , the running time of sunflow or h2 at different rates is recorded to compare with the running time when our system is off ( 0 MB ) . We use median confidence intervals for the running time at different rates by running the test for 20 times .",Domain0,105,106,800 MB,89,91,no relation found
""" Green innovation "" is a hot topic that has attracted much attention in recent years . When scholars describe innovation that is helpful in reducing the impact on the natural environment , the following terms still exist : ecological innovation , environment innovation , and sustainable innovation .",Green innovation,1,3,much attention,11,13,Green innovation attracted much attention in recent years.
"As described earlier , the IFM framework has a modular set - up which allows omitting or ( re - ) introducing views seamlessly . This is expected to allow for demand - specific adaptation of the framework related to the preferences of ( individual ) designers or needs pertaining to a specific design project . Adaptation involves either augmenting , i.e. adding further information in the views ( or depth in the descriptions of represented entities , respectively ) , or tailoring , i.e. omitting details in the different views or omitting entire views , if not required in a specific project . The latter should help in reducing modelling efforts and complexity when it is possible . Arguably , practical designers will almost always try to adapt any approach they are using to their particular needs , not only the IFM framework . However , the clear and salient distinction between contents due to their separation into views eases doing so . Depending on the specific disciplines involved and design approaches applied , the designers can flexibly select ( and thus focus on ) the specific views / information they require , while omitting the other views .",their separation,156,158,they,131,132,no relation found
"A lightning protection system ( LPS ) is an extremely controversial subject . It is difficult to obtain practical information on the capacity of the system even if precautions are accurately calculated . Lightning is a natural phenomenon that cannot be controlled by humans , but LPSs are not . The maximum effectiveness of lightning protection depends on the grounding network with good conductors directly connected with the soil of the earth , which works to build reliable insulation that protects the substation from the effects of lightning strikes . All the systems used in this paper are represented in accordance with international standards with high and considered protection . In this study , a 110 k substation is designed , and the lightning voltage and current , and the LPS protection of the substation during a thunderstorm are calculated . The designed LPS results in the reduced impact of lightning disturbances and improved robustness of the grid substation .",the LPS protection,129,132,the soil,67,69,The maximum effectiveness of the LPS protection depends on the grounding network with good conductors directly connected with the soil of the earth.
"Similarly , the preparation courses for the IELTS test and its materials were also considered to be an additional financial burden to the students . Almost all the students said that they had to enroll themselves in a preparation course in order to familiarize themselves with the test and acquaint themselves with the techniques for success in the test . Some said that they benefited from the free online preparation courses that the British Council offered in its website . Yet , they emphasized that the information in those courses was general , superficial , and less comprehensive than the costly ones that are available in the market . The price range for the preparation courses , according to the students , having an 8 - week duration ranged from USD 300 to USD 400 . Sometimes , students needed to stay longer in the course since they did not manage to attain the target score . Thus , they had to pay more . Alternatively , one student said that she wasted her time when she attended the preparation course , then she decided to prepare for the test by herself using preparation books and materials related to IELTS .",the IELTS test,6,9,the course,144,146,Lower scores on the IELTS test caused students to stay longer in the course.
"Language assessment literacy ( LAL ) is a critical field for researchers , scholars , or anyone interested in improving the language teaching environment . Understanding the basics of testing and the ability to perform testing - related activities becomes more significant in test-oriented countries . As such , in the extremely exam-oriented milieu of Bangladesh , giving tests and preparing students for high - stakes tests are the two core tasks performed by language teachers . English teachers ' readiness and ability to perform various test-related tasks determine the quality of English education in the country . In this regard , earlier studies have investigated various factors related to English language teaching . However , the assessment literacy of teachers has rarely been investigated within the context of Bangladeshi language teaching . There is no publication or broader research to understand how LAL operates in English teachers in the country . Considering the test-oriented nature of Bangladesh , it is essential to explore if the LAL of language teachers is benefitting classroom teaching and learning . Hence , this research aims to examine the nature and functionality of LAL among English teachers in Bangladesh . The study focused on two central concerns : first , whether the English teachers in the country are academically and professionally ready to perform various testing tasks ; and second , how the teachers perceive LAL in their teaching practices . Semi-structured interviews were used as the data collection method for this qualitative study . The results provided insights into how the inadequate academic and professional testing background of teachers hindered their performance in conducting assessment - related tasks and contributed to their limitations in the use of assessments to improve teaching . Based on the findings , the article concludes with suggestions that can be implemented to develop language assessment awareness of English teachers in Bangladesh .",teachers,75,76,various factors,106,108,English language teachers were investigated for various factors.
